,carname,fueltype,aspiration,carbody,drivewheel,enginetype,stroke,horsepower,peakrpm,price
0,alfa-romero giulia,gas,std,convertible,rwd,dohc,2.68,111,5000,13495.0
1,alfa-romero stelvio,gas,std,convertible,rwd,dohc,2.68,111,5000,16500.0
2,alfa-romero Quadrifoglio,gas,std,hatchback,rwd,ohcv,3.47,154,5000,16500.0
3,audi 100 ls,gas,std,sedan,fwd,ohc,3.4,102,5500,13950.0
4,audi 100ls,gas,std,sedan,4wd,ohc,3.4,115,5500,17450.0
5,audi fox,gas,std,sedan,fwd,ohc,3.4,110,5500,15250.0
6,audi 100ls,gas,std,sedan,fwd,ohc,3.4,110,5500,17710.0
7,audi 5000,gas,std,wagon,fwd,ohc,3.4,110,5500,18920.0
8,audi 4000,gas,turbo,sedan,fwd,ohc,3.4,140,5500,23875.0
9,audi 5000s (diesel),gas,turbo,hatchback,4wd,ohc,3.4,160,5500,17859.167
10,bmw 320i,gas,std,sedan,rwd,ohc,2.8,101,5800,16430.0
11,bmw 320i,gas,std,sedan,rwd,ohc,2.8,101,5800,16925.0
12,bmw x1,gas,std,sedan,rwd,ohc,3.19,121,4250,20970.0
13,bmw x3,gas,std,sedan,rwd,ohc,3.19,121,4250,21105.0
14,bmw z4,gas,std,sedan,rwd,ohc,3.19,121,4250,24565.0
15,bmw x4,gas,std,sedan,rwd,ohc,3.39,182,5400,30760.0
17,bmw x3,gas,std,sedan,rwd,ohc,3.39,182,5400,36880.0
18,chevrolet impala,gas,std,hatchback,fwd,l,3.03,48,5100,5151.0
19,chevrolet monte carlo,gas,std,hatchback,fwd,ohc,3.11,70,5400,6295.0
20,chevrolet vega 2300,gas,std,sedan,fwd,ohc,3.11,70,5400,6575.0
21,dodge rampage,gas,std,hatchback,fwd,ohc,3.23,68,5500,5572.0
22,dodge challenger se,gas,std,hatchback,fwd,ohc,3.23,68,5500,6377.0
23,dodge d200,gas,turbo,hatchback,fwd,ohc,3.39,102,5500,7957.0
24,dodge monaco (sw),gas,std,hatchback,fwd,ohc,3.23,68,5500,6229.0
25,dodge colt hardtop,gas,std,sedan,fwd,ohc,3.23,68,5500,6692.0
26,dodge colt (sw),gas,std,sedan,fwd,ohc,3.23,68,5500,7609.0
27,dodge coronet custom,gas,turbo,sedan,fwd,ohc,3.39,102,5500,8558.0
28,dodge dart custom,gas,std,wagon,fwd,ohc,3.46,88,5000,8921.0
29,dodge coronet custom (sw),gas,turbo,hatchback,fwd,ohc,3.9,145,5000,12964.0
30,honda civic,gas,std,hatchback,fwd,ohc,3.41,58,4800,6479.0
31,honda civic cvcc,gas,std,hatchback,fwd,ohc,3.41,76,6000,6855.0
32,honda civic,gas,std,hatchback,fwd,ohc,3.07,60,5500,5399.0
33,honda accord cvcc,gas,std,hatchback,fwd,ohc,3.41,76,6000,6529.0
34,honda civic cvcc,gas,std,hatchback,fwd,ohc,3.41,76,6000,7129.0
35,honda accord lx,gas,std,sedan,fwd,ohc,3.41,76,6000,7295.0
36,honda civic 1500 gl,gas,std,wagon,fwd,ohc,3.41,76,6000,7295.0
37,honda accord,gas,std,hatchback,fwd,ohc,3.58,86,5800,7895.0
38,honda civic 1300,gas,std,hatchback,fwd,ohc,3.58,86,5800,9095.0
39,honda prelude,gas,std,sedan,fwd,ohc,3.58,86,5800,8845.0
40,honda accord,gas,std,sedan,fwd,ohc,3.58,86,5800,10295.0
41,honda civic,gas,std,sedan,fwd,ohc,3.58,101,5800,12945.0
42,honda civic (auto),gas,std,sedan,fwd,ohc,3.58,100,5500,10345.0
43,isuzu MU-X,gas,std,sedan,rwd,ohc,3.23,78,4800,6785.0
44,isuzu D-Max ,gas,std,sedan,fwd,ohc,3.11,70,5400,8916.5
45,isuzu D-Max V-Cross,gas,std,sedan,fwd,ohc,3.11,70,5400,8916.5
46,isuzu D-Max ,gas,std,hatchback,rwd,ohc,3.23,90,5000,11048.0
50,maxda rx3,gas,std,hatchback,fwd,ohc,3.15,68,5000,5195.0
51,maxda glc deluxe,gas,std,hatchback,fwd,ohc,3.15,68,5000,6095.0
52,mazda rx2 coupe,gas,std,hatchback,fwd,ohc,3.15,68,5000,6795.0
53,mazda rx-4,gas,std,sedan,fwd,ohc,3.15,68,5000,6695.0
54,mazda glc deluxe,gas,std,sedan,fwd,ohc,3.15,68,5000,7395.0
55,mazda 626,gas,std,hatchback,rwd,rotor,3.255,101,6000,10945.0
56,mazda glc,gas,std,hatchback,rwd,rotor,3.255,101,6000,11845.0
57,mazda rx-7 gs,gas,std,hatchback,rwd,rotor,3.255,101,6000,13645.0
58,mazda glc 4,gas,std,hatchback,rwd,rotor,3.255,135,6000,15645.0
59,mazda 626,gas,std,hatchback,fwd,ohc,3.39,84,4800,8845.0
60,mazda glc custom l,gas,std,sedan,fwd,ohc,3.39,84,4800,8495.0
61,mazda glc custom,gas,std,hatchback,fwd,ohc,3.39,84,4800,10595.0
62,mazda rx-4,gas,std,sedan,fwd,ohc,3.39,84,4800,10245.0
63,mazda glc deluxe,diesel,std,sedan,fwd,ohc,3.39,64,4650,10795.0
64,mazda 626,gas,std,hatchback,fwd,ohc,3.39,84,4800,11245.0
65,mazda glc,gas,std,sedan,rwd,ohc,3.16,120,5000,18280.0
66,mazda rx-7 gs,diesel,std,sedan,rwd,ohc,3.64,72,4200,18344.0
67,buick electra 225 custom,diesel,turbo,sedan,rwd,ohc,3.64,123,4350,25552.0
68,buick century luxus (sw),diesel,turbo,wagon,rwd,ohc,3.64,123,4350,28248.0
69,buick century,diesel,turbo,hardtop,rwd,ohc,3.64,123,4350,28176.0
70,buick skyhawk,diesel,turbo,sedan,rwd,ohc,3.64,123,4350,31600.0
71,buick opel isuzu deluxe,gas,std,sedan,rwd,ohcv,3.1,155,4750,34184.0
72,buick skylark,gas,std,convertible,rwd,ohcv,3.1,155,4750,35056.0
75,mercury cougar,gas,turbo,hatchback,rwd,ohc,3.12,175,5000,16503.0
76,mitsubishi mirage,gas,std,hatchback,fwd,ohc,3.23,68,5500,5389.0
77,mitsubishi lancer,gas,std,hatchback,fwd,ohc,3.23,68,5500,6189.0
78,mitsubishi outlander,gas,std,hatchback,fwd,ohc,3.23,68,5500,6669.0
79,mitsubishi g4,gas,turbo,hatchback,fwd,ohc,3.39,102,5500,7689.0
80,mitsubishi mirage g4,gas,turbo,hatchback,fwd,ohc,3.46,116,5500,9959.0
81,mitsubishi g4,gas,std,hatchback,fwd,ohc,3.46,88,5000,8499.0
82,mitsubishi outlander,gas,turbo,hatchback,fwd,ohc,3.86,145,5000,12629.0
83,mitsubishi g4,gas,turbo,hatchback,fwd,ohc,3.86,145,5000,14869.0
84,mitsubishi mirage g4,gas,turbo,hatchback,fwd,ohc,3.86,145,5000,14489.0
85,mitsubishi montero,gas,std,sedan,fwd,ohc,3.46,88,5000,6989.0
86,mitsubishi pajero,gas,std,sedan,fwd,ohc,3.46,88,5000,8189.0
87,mitsubishi outlander,gas,turbo,sedan,fwd,ohc,3.46,116,5500,9279.0
88,mitsubishi mirage g4,gas,std,sedan,fwd,ohc,3.46,116,5500,9279.0
89,Nissan versa,gas,std,sedan,fwd,ohc,3.29,69,5200,5499.0
90,nissan gt-r,diesel,std,sedan,fwd,ohc,3.47,55,4800,7099.0
91,nissan rogue,gas,std,sedan,fwd,ohc,3.29,69,5200,6649.0
92,nissan latio,gas,std,sedan,fwd,ohc,3.29,69,5200,6849.0
93,nissan titan,gas,std,wagon,fwd,ohc,3.29,69,5200,7349.0
